Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA210226C00820000,2021-02-19 3:58PM EST,820,6.31,6.2,6.5,-5.2,-45.18%,3996,2287,49.41%
TSLA210226C00822500,2021-02-19 3:56PM EST,822.5,5.79,5.65,6.05,-5.02,-46.44%,191,272,49.63%
TSLA210226C00825000,2021-02-19 3:59PM EST,825,5.35,5.2,5.6,-4.85,-47.55%,1909,649,49.76%
TSLA210226C00827500,2021-02-19 3:59PM EST,827.5,5,4.9,5.15,-4.64,-48.13%,366,456,49.77%
TSLA210226C00830000,2021-02-19 3:59PM EST,830,4.6,4.5,4.75,-4.4,-48.89%,3456,1496,49.87%
TSLA210226C00832500,2021-02-19 3:59PM EST,832.5,4.24,4.05,4.65,-4.23,-49.94%,435,282,51.03%
TSLA210226C00835000,2021-02-19 3:59PM EST,835,3.9,3.85,4.3,-4.02,-50.76%,967,511,50.23%
TSLA210226C00837500,2021-02-19 3:57PM EST,837.5,3.6,3.45,3.75,-3.9,-52.00%,444,348,50.33%
TSLA210226C00840000,2021-02-19 3:59PM EST,840,3.27,3.25,3.5,-3.73,-53.29%,4792,1432,50.09%
TSLA210226C00842500,2021-02-19 3:54PM EST,842.5,3.1,2.9,3.2,-3.5,-53.03%,669,286,50.66%
TSLA210226C00845000,2021-02-19 3:59PM EST,845,2.81,2.75,2.95,-3.34,-54.31%,2600,548,50.31%
TSLA210226C00847500,2021-02-19 3:59PM EST,847.5,2.66,2.45,2.71,-3.39,-56.03%,827,261,50.23%
TSLA210226C00850000,2021-02-19 3:59PM EST,850,2.45,2.41,2.5,-3.1,-55.86%,8324,3707,50.84%
TSLA210226C00852500,2021-02-19 3:59PM EST,852.5,2.23,2.09,2.33,-2.92,-56.70%,1748,207,50.71%
TSLA210226C00855000,2021-02-19 3:58PM EST,855,2.13,1.97,2.26,-2.8,-56.80%,1213,731,51.38%
TSLA210226C00857500,2021-02-19 3:52PM EST,857.5,1.9,1.84,2.02,-3.3,-63.46%,146,230,51.43%
TSLA210226C00860000,2021-02-19 3:59PM EST,860,1.8,1.75,1.8,-2.48,-57.94%,2366,2217,51.59%
TSLA210226C00862500,2021-02-19 3:54PM EST,862.5,1.68,1.53,1.77,-2.42,-59.02%,166,191,51.88%
TSLA210226C00865000,2021-02-19 3:59PM EST,865,1.56,1.45,1.63,-2.34,-60.00%,664,920,52.22%
TSLA210226C00867500,2021-02-19 3:49PM EST,867.5,1.36,1.32,1.55,-2.85,-67.70%,715,438,52.53%
TSLA210226C00870000,2021-02-19 4:00PM EST,870,1.35,1.26,1.35,-2.07,-60.53%,1171,1307,52.56%
TSLA210226C00872500,2021-02-19 3:57PM EST,872.5,1.3,1.23,1.35,-1.89,-59.25%,269,510,53.53%
TSLA210226C00875000,2021-02-19 3:58PM EST,875,1.23,1.15,1.29,-1.83,-59.80%,763,918,53.98%
TSLA210226C00877500,2021-02-19 3:59PM EST,877.5,1.13,1.05,1.18,-1.8,-61.43%,163,306,54.08%
TSLA210226C00880000,2021-02-19 3:59PM EST,880,1.02,0.99,1.1,-1.74,-63.04%,1378,1289,54.42%
TSLA210226C00882500,2021-02-19 3:55PM EST,882.5,1.1,0.88,1.09,-2.25,-67.16%,116,677,54.83%
TSLA210226C00885000,2021-02-19 3:58PM EST,885,0.93,0.84,1.02,-1.55,-62.50%,761,338,55.25%
TSLA210226C00887500,2021-02-19 3:47PM EST,887.5,0.89,0.78,0.97,-1.72,-65.90%,63,98,55.62%
TSLA210226C00890000,2021-02-19 3:59PM EST,890,0.78,0.73,0.85,-1.49,-65.64%,1235,1030,55.59%
TSLA210226C00892500,2021-02-19 3:02PM EST,892.5,0.82,0.69,0.89,-1.54,-65.25%,73,117,56.54%
TSLA210226C00895000,2021-02-19 3:54PM EST,895,0.72,0.66,0.85,-1.34,-65.05%,207,1141,57.06%
TSLA210226C00897500,2021-02-19 3:47PM EST,897.5,0.67,0.62,0.81,-1.28,-65.64%,308,346,57.47%
TSLA210226C00900000,2021-02-19 3:59PM EST,900,0.67,0.65,0.68,-1.19,-63.98%,13147,6061,57.72%
TSLA210226C00902500,2021-02-19 3:52PM EST,902.5,0.65,0.53,0.76,-1.17,-64.29%,273,455,58.35%
TSLA210226C00905000,2021-02-19 3:52PM EST,905,0.65,0.53,0.68,-1.23,-65.43%,385,804,58.64%
TSLA210226C00907500,2021-02-19 3:29PM EST,907.5,0.62,0.53,0.68,-1.01,-61.96%,91,237,59.55%
TSLA210226C00910000,2021-02-19 3:59PM EST,910,0.53,0.53,0.65,-1.02,-65.81%,593,617,60.21%
TSLA210226C00915000,2021-02-19 3:43PM EST,915,0.56,0.5,0.63,-0.98,-63.64%,206,340,61.57%
TSLA210226C00920000,2021-02-19 3:59PM EST,920,0.46,0.44,0.47,-0.9,-66.18%,643,595,61.28%
TSLA210226C00925000,2021-02-19 3:46PM EST,925,0.47,0.35,0.53,-0.76,-61.79%,251,398,62.67%
TSLA210226C00930000,2021-02-19 3:58PM EST,930,0.4,0.31,0.44,-0.72,-64.29%,235,602,62.89%
TSLA210226C00935000,2021-02-19 3:49PM EST,935,0.37,0.3,0.49,-0.71,-65.74%,171,331,64.99%
TSLA210226C00940000,2021-02-19 3:53PM EST,940,0.37,0.3,0.4,-0.63,-63.00%,261,545,65.53%
TSLA210226C00945000,2021-02-19 3:36PM EST,945,0.35,0.28,0.41,-0.75,-68.18%,132,220,66.99%
TSLA210226C00950000,2021-02-19 3:58PM EST,950,0.31,0.3,0.31,-0.58,-65.17%,1851,1554,67.43%
TSLA210226C00955000,2021-02-19 3:58PM EST,955,0.31,0.23,0.48,-0.57,-64.77%,148,260,70.41%
TSLA210226C00960000,2021-02-19 3:57PM EST,960,0.29,0.21,0.36,-0.48,-62.34%,125,294,69.87%
TSLA210226C00965000,2021-02-19 3:48PM EST,965,0.3,0.22,0.34,-0.56,-65.12%,188,141,71.24%
TSLA210226C00970000,2021-02-19 2:50PM EST,970,0.27,0.23,0.34,-0.44,-61.97%,59,424,72.90%
TSLA210226C00975000,2021-02-19 3:52PM EST,975,0.26,0.2,0.28,-0.49,-65.33%,424,269,72.80%
TSLA210226C00980000,2021-02-19 3:57PM EST,980,0.23,0.22,0.24,-0.41,-64.06%,1105,390,73.83%
TSLA210226C00985000,2021-02-19 3:58PM EST,985,0.21,0.19,0.29,-0.52,-71.23%,627,344,75.68%
TSLA210226C00990000,2021-02-19 3:32PM EST,990,0.21,0.14,0.28,-0.37,-63.79%,101,1379,75.88%
TSLA210226C00995000,2021-02-19 3:58PM EST,995,0.22,0.13,0.23,-0.32,-59.26%,318,480,75.88%
TSLA210226C01000000,2021-02-19 3:59PM EST,1000,0.2,0.18,0.22,-0.35,-63.64%,3977,6603,78.22%
TSLA210226C01010000,2021-02-19 3:29PM EST,1010,0.21,0.1,0.21,-0.29,-58.00%,141,1420,78.61%
TSLA210226C01020000,2021-02-19 3:43PM EST,1020,0.19,0.08,0.2,-0.26,-57.78%,560,966,80.37%
TSLA210226C01030000,2021-02-19 2:41PM EST,1030,0.2,0.07,0.19,-0.22,-52.38%,142,272,82.23%
TSLA210226C01040000,2021-02-19 3:57PM EST,1040,0.12,0.11,0.17,-0.32,-72.73%,165,245,85.45%
TSLA210226C01050000,2021-02-19 3:44PM EST,1050,0.13,0.06,0.15,-0.2,-60.61%,132,469,85.35%
TSLA210226C01060000,2021-02-19 3:41PM EST,1060,0.15,0.04,0.19,-0.16,-51.61%,66,217,88.67%
TSLA210226C01070000,2021-02-19 3:21PM EST,1070,0.13,0.03,0.15,-0.16,-55.17%,23,371,88.87%
TSLA210226C01080000,2021-02-19 3:49PM EST,1080,0.15,0.05,0.17,-0.13,-46.43%,147,386,92.97%
TSLA210226C01090000,2021-02-19 12:48PM EST,1090,0.16,0.09,0.14,-0.09,-36.00%,13,274,95.70%
TSLA210226C01100000,2021-02-19 3:54PM EST,1100,0.05,0.05,0.12,-0.21,-80.77%,1401,1816,95.12%
TSLA210226C01110000,2021-02-19 3:51PM EST,1110,0.08,0.01,0.16,-0.17,-68.00%,723,112,97.46%
TSLA210226C01120000,2021-02-19 3:58PM EST,1120,0.1,0.05,0.12,-0.14,-58.33%,25,178,99.61%
TSLA210226C01130000,2021-02-19 3:28PM EST,1130,0.09,0.01,0.12,-0.12,-57.14%,43,99,99.22%
TSLA210226C01140000,2021-02-19 3:14PM EST,1140,0.11,0.05,0.14,-0.07,-38.89%,61,108,105.08%
TSLA210226C01150000,2021-02-19 3:49PM EST,1150,0.07,0.05,0.1,-0.11,-61.11%,229,389,104.88%
TSLA210226C01160000,2021-02-19 1:55PM EST,1160,0.08,0,0.35,-0.11,-57.89%,11,87,116.21%
TSLA210226C01170000,2021-02-19 2:12PM EST,1170,0.09,0,0.11,-0.09,-50.00%,60,82,106.06%
TSLA210226C01180000,2021-02-19 12:28PM EST,1180,0.09,0,0.13,-0.06,-40.00%,6,52,109.77%
TSLA210226C01190000,2021-02-19 10:23AM EST,1190,0.09,0,0.34,-0.06,-40.00%,3,58,122.46%
TSLA210226C01200000,2021-02-19 3:48PM EST,1200,0.07,0.05,0.07,-0.05,-41.67%,193,1514,112.89%
TSLA210226C01210000,2021-02-19 3:49PM EST,1210,0.05,0,0.1,-0.1,-66.67%,15,110,112.89%
TSLA210226C01220000,2021-02-19 9:47AM EST,1220,0.08,0,0.1,-0.13,-61.90%,3,121,114.84%
TSLA210226C01230000,2021-02-19 3:37PM EST,1230,0.05,0,0.07,-0.22,-81.48%,12,65,113.28%
TSLA210226C01240000,2021-02-19 3:59PM EST,1240,0.01,0,0.07,-0.09,-90.00%,8,49,115.23%
TSLA210226C01250000,2021-02-18 3:40PM EST,1250,0.08,0.02,0.11,-0.02,-20.00%,22,351,123.24%
TSLA210226C01260000,2021-02-18 3:20PM EST,1260,0.1,0.01,0.3,0,-,11,85,135.55%
TSLA210226C01270000,2021-02-19 3:19PM EST,1270,0.05,0.04,0.05,-0.03,-37.50%,58,29,123.05%
TSLA210226C01280000,2021-02-19 2:03PM EST,1280,0.06,0.01,0.08,-0.1,-62.50%,2,74,125.00%
TSLA210226C01290000,2021-02-19 3:39PM EST,1290,0.04,0.01,0.06,-0.04,-50.00%,11,171,124.22%
TSLA210226C01300000,2021-02-19 1:04PM EST,1300,0.04,0.04,0.07,-0.04,-50.00%,44,518,130.47%
TSLA210226C01310000,2021-02-19 11:13AM EST,1310,0.05,0.01,0.12,-0.02,-28.57%,2,173,133.98%
TSLA210226C01320000,2021-02-19 11:01AM EST,1320,0.05,0.01,0.09,0,-,43,145,132.81%
TSLA210226C01330000,2021-02-18 10:13AM EST,1330,0.05,0.01,0.12,-0.01,-16.67%,3,144,137.50%
TSLA210226C01340000,2021-02-18 3:41PM EST,1340,0.07,0.01,0.06,0.01,16.67%,77,130,132.42%
TSLA210226C01350000,2021-02-19 3:07PM EST,1350,0.06,0.01,0.07,0,-,13,701,135.55%
TSLA210226C01360000,2021-02-18 9:46AM EST,1360,0.05,0,0.07,0,-,20,185,135.94%
TSLA210226C01370000,2021-02-18 1:40PM EST,1370,0.05,0.01,0.07,0,-,3,127,139.06%
TSLA210226C01380000,2021-02-19 12:11PM EST,1380,0.05,0.01,0.05,0,-,4,133,137.50%
TSLA210226C01390000,2021-02-19 3:49PM EST,1390,0.05,0.01,0.05,0,-,13,145,139.06%
TSLA210226C01400000,2021-02-19 12:36PM EST,1400,0.03,0.02,0.04,-0.02,-40.00%,7,595,140.63%
TSLA210226C01410000,2021-02-19 3:42PM EST,1410,0.04,0.03,0.12,-0.06,-60.00%,9,112,152.73%
TSLA210226C01420000,2021-02-18 9:47AM EST,1420,0.03,0.01,0.12,-0.02,-40.00%,2,136,152.73%
TSLA210226C01430000,2021-02-18 2:28PM EST,1430,0.04,0.01,0.12,0,-,15,142,154.30%
TSLA210226C01440000,2021-02-17 3:52PM EST,1440,0.04,0.01,0.11,-0.07,-63.64%,6,38,154.69%
TSLA210226C01450000,2021-02-19 3:20PM EST,1450,0.03,0.02,0.03,-0.06,-66.67%,6,142,146.09%
TSLA210226C01460000,2021-02-17 9:30AM EST,1460,0.1,0.01,0.05,0,-,1,139,149.22%
TSLA210226C01470000,2021-02-19 3:20PM EST,1470,0.03,0.01,0.03,0.02,200.00%,172,210,146.88%
TSLA210226C01480000,2021-02-19 2:02PM EST,1480,0.03,0.02,0.03,0,-,5,209,150.00%
TSLA210226C01490000,2021-02-19 3:26PM EST,1490,0.03,0.02,0.03,0,-,106,173,151.56%
TSLA210226C01500000,2021-02-19 3:56PM EST,1500,0.03,0.02,0.03,0,-,563,1227,153.13%
TSLA210226C01525000,2021-02-18 2:03PM EST,1525,0.03,0.01,0.03,0,-,9,292,154.69%
TSLA210226C01550000,2021-02-19 12:50PM EST,1550,0.02,0.02,0.03,0,-,33,439,160.16%
TSLA210226C01575000,2021-02-19 12:48PM EST,1575,0.02,0.01,0.02,-0.01,-33.33%,3,77,157.81%
TSLA210226C01600000,2021-02-19 3:36PM EST,1600,0.02,0.02,0.03,0,-,15,100,167.19%
TSLA210226C01625000,2021-02-18 2:17PM EST,1625,0.03,0.01,0.05,0,-,21,113,172.66%
TSLA210226C01650000,2021-02-19 1:40PM EST,1650,0.02,0.01,0.02,-0.02,-50.00%,10,205,167.19%
TSLA210226C01675000,2021-02-19 11:37AM EST,1675,0.02,0.01,0.02,0,-,8,211,170.31%
TSLA210226C01700000,2021-02-19 3:39PM EST,1700,0.02,0.01,0.02,0,-,1146,4751,173.44%
